cntry,variable,eligible_n,valid_n,missing_share,mean,sd,median,min,max,floor_share_0,ceiling_share_10,upper_share_8_10
AT,viepol,1388,1347,0.029538904899135448,6.556792873051225,2.628906255829647,7.0,0.0,10.0,0.042316258351893093,0.1759465478841871,0.40979955456570155
AT,wpestop,1388,1360,0.020172910662824207,7.3375,2.204098046186654,8.0,0.0,10.0,0.011764705882352941,0.21838235294117647,0.5272058823529412
AT,votedir,1388,1369,0.013688760806916427,8.080350620891162,2.209621675117839,9.0,0.0,10.0,0.006574141709276844,0.3951789627465303,0.7027027027027027
BE,viepol,846,837,0.010638297872340425,7.103942652329749,2.0589276338647746,7.0,0.0,10.0,0.010752688172043012,0.14336917562724014,0.4755077658303465
BE,wpestop,846,837,0.010638297872340425,7.234169653524492,2.0832272614522624,8.0,0.0,10.0,0.009557945041816009,0.15770609318996415,0.5017921146953405
BE,votedir,846,841,0.00591016548463357,7.284185493460167,2.2138846668090384,8.0,0.0,10.0,0.011890606420927468,0.1902497027348395,0.5303210463733651
BG,viepol,1428,1394,0.023809523809523808,7.859397417503587,2.1793987286075187,8.0,0.0,10.0,0.003586800573888092,0.37374461979913914,0.6140602582496413
BG,wpestop,1428,1402,0.018207282913165267,8.501426533523539,1.8549271052999394,9.0,0.0,10.0,0.003566333808844508,0.47218259629101283,0.7524964336661911
BG,votedir,1428,1397,0.021708683473389355,8.28990694345025,2.0435073801035597,9.0,0.0,10.0,0.0071581961345740875,0.43808160343593416,0.7079455977093773
CH,viepol,666,647,0.028528528528528527,7.051004636785162,2.318093072050935,7.0,0.0,10.0,0.02009273570324575,0.16228748068006182,0.49613601236476046
CH,wpestop,666,660,0.009009009009009009,7.668181818181818,2.0076983168254237,8.0,0.0,10.0,0.006060606060606061,0.22121212121212122,0.603030303030303
CH,votedir,666,664,0.003003003003003003,8.686746987951807,1.4772499895634192,9.0,0.0,10.0,0.0015060240963855422,0.39457831325301207,0.8207831325301205
CZ,viepol,1357,1328,0.021370670596904937,7.619728915662651,2.1158894158017243,8.0,0.0,10.0,0.009789156626506024,0.23042168674698796,0.5881024096385542
CZ,wpestop,1357,1345,0.008843036109064112,8.33085501858736,1.881095155929433,9.0,0.0,10.0,0.0037174721189591076,0.38066914498141263,0.737546468401487
CZ,votedir,1357,1328,0.021370670596904937,7.942018072289157,2.297493046035933,8.0,0.0,10.0,0.017319277108433735,0.34036144578313254,0.6814759036144579
DE,viepol,6000,5735,0.04416666666666667,6.478639930252833,2.573276762153324,7.0,0.0,10.0,0.04289450741063644,0.16390584132519617,0.3862249346120314
DE,wpestop,6000,5818,0.030333333333333334,7.18030250945342,2.2777659565288775,8.0,0.0,10.0,0.012203506359573736,0.21244413887933997,0.5032657270539704
