omitted_country,n,statistic_f,numerator_df,denominator_df,chi_square,p_value,beta_distrust_index_three,change_distrust_index_three,beta_viepol,change_viepol,beta_wpestop,change_wpestop,beta_votedir,change_votedir
AT,26386,15.143094292482155,2.0,21.0,30.28618858496431,8.478092145367307e-05,0.06972253510441416,-0.0035151632910170455,0.013138523088524437,-0.0016605310640763048,0.052483745268509026,-0.0008614090776359398,0.05095263042863539,-0.0002580322140015162
BE,26841,15.284551254948278,2.0,21.0,30.569102509896556,8.002249287008619e-05,0.07097488262478502,-0.002262815770646187,0.015147012662588787,0.0003479585099880455,0.053558797507739876,0.00021364316159491054,0.05143322781866435,0.00022256517602744358
BG,26306,14.694322760309529,2.0,21.0,29.388645520619058,0.00010204915396110454,0.07660888857003545,0.003371190174604244,0.017974994270894218,0.003175940118293476,0.05245960612707059,-0.0008855482190743766,0.05073384455215896,-0.00047681809047794843
CH,27031,14.489034667108623,2.0,21.0,28.978069334217246,0.00011120341004049724,0.0715713469575013,-0.001666351437929911,0.017526444806036396,0.0027273906534356542,0.052309517871380544,-0.0010356364747644217,0.050436447786075374,-0.0007742148565615323
CZ,26383,16.267016450857437,2.0,21.0,32.53403290171487,5.403659796595848e-05,0.07998962751307864,0.006751929117647437,0.013001444460975621,-0.0017976096916251204,0.05692766510837969,0.003582510762234724,0.04875065600581202,-0.002460006636824885
DE,22316,44.88518100779232,2.0,21.0,89.77036201558464,2.611289705247468e-08,0.026089449862029462,-0.04714824853340174,0.019051132775124494,0.0042520786225237524,0.050550210152142276,-0.0027949441940026895,0.029841875429815874,-0.021368787212821032
EE,26777,15.661556919005122,2.0,21.0,31.323113838010244,6.871000607377832e-05,0.07282116949727596,-0.00041652889815524397,0.014825951633903456,2.6897481302714382e-05,0.05324796921514819,-9.718513099677556e-05,0.051095266404468015,-0.00011539623816889111
ES,26323,13.675475262882433,2.0,21.0,27.350950525764866,0.0001574163811264635,0.07798103619326742,0.004743337797836214,0.012711940548575171,-0.0020871136040255707,0.054848118234967415,0.0015029638888224492,0.05307885086209214,0.0018681882194552316
FI,26598,15.33227210546356,2.0,21.0,30.66454421092712,7.84838447356194e-05,0.06972314334601892,-0.0035145550494122824,0.016005775819127738,0.001206721666526996,0.05440811513014729,0.001062960784002323,0.04853712790764305,-0.0026735347349938557
FR,26875,18.091448902834525,2.0,21.0,36.18289780566905,2.704007647112428e-05,0.0474880561757685,-0.025749642219662708,0.009488858513038486,-0.005310195639562256,0.06496985669390637,0.011624702347761404,0.03585997807024492,-0.015350684572391984
GR,25982,15.115845876048166,2.0,21.0,30.23169175209633,8.573265513581284e-05,0.06952498674200222,-0.003712711653428985,0.015989198172036454,0.0011901440194357123,0.05325679564608512,-8.835870005984708e-05,0.05135670799655419,0.0001460453539172818
HR,27017,15.966940218523558,2.0,21.0,31.933880437047115,6.082728155500923e-05,0.07243546857446176,-0.0008022298209694467,0.014527996596590598,-0.00027105755601014407,0.05383872396229626,0.0004935696161512959,0.05129669354037242,8.603089773551176e-05
HU,26676,16.84303366990619,2.0,21.0,33.68606733981238,4.321129870636136e-05,0.09059240203511966,0.017354703639688454,0.016104901227710904,0.0013058470751101618,0.0561103013981349,0.0027651470519899357,0.0519904247848451,0.000779762142208193
IE,26639,16.069278902200107,2.0,21.0,32.138557804400214,5.841173139445109e-05,0.06875932905071551,-0.004478369344715696,0.014699176214628382,-9.987793797235946e-05,0.05330544336748718,-3.971097865778511e-05,0.053491578427922626,0.00228091578528572
IS,27080,15.809785208453672,2.0,21.0,31.619570416907344,6.475241396310034e-05,0.07306054876590543,-0.00017714962952578017,0.014803980410819042,4.926258218299756e-06,0.05337919783600552,3.404348986055239e-05,0.05114718154359675,-6.34810990401552e-05
IT,26652,10.985541032193561,2.0,21.0,21.971082064387122,0.0005431897308390595,0.05275023890953404,-0.020487459485897162,0.0254357485976713,0.010636694445070557,0.05337442284518426,2.926849903929496e-05,0.05416607204529135,0.0029554094026544436
LV,27106,15.637084858394037,2.0,21.0,31.274169716788073,6.938851410162222e-05,0.07304530989457321,-0.00019238850085799564,0.014789878596765877,-9.175555834864402e-06,0.05294136614741228,-0.00040378819873268523,0.051243222684019665,3.256004138275925e-05
NL,26582,14.61831500749266,2.0,21.0,29.23663001498532,0.00010533855654474138,0.06593208867311896,-0.007305609722312242,0.011383351564679622,-0.0034157025879211194,0.055688004690086154,0.0023428503439411885,0.04226139797129472,-0.008949264671342189
NO,26657,16.483970324289842,2.0,21.0,32.967940648579685,4.9645079363814846e-05,0.07029344303205995,-0.0029442553633712565,0.014879753300108278,8.069914750753575e-05,0.0549095582855616,0.0015644039394166337,0.051689426957594986,0.00047876431495808003
