cntry,term,estimate_log_odds,positive,converged,n,psu_clusters
AT,distrust_index_three,0.33562994945254326,True,True,1277,1277
AT,viepol,0.049432952320673684,True,True,1277,1277
AT,wpestop,0.15115758617932665,True,True,1277,1277
AT,votedir,0.05418872327329277,True,True,1277,1277
BE,distrust_index_three,0.19437436311667106,True,True,822,498
BE,viepol,-0.0156221337770182,False,True,822,498
BE,wpestop,0.026214030591298856,True,True,822,498
BE,votedir,0.03660999805232783,True,True,822,498
BG,distrust_index_three,-0.05012630102933,False,True,1357,432
BG,viepol,-0.12049686200406705,False,True,1357,432
BG,wpestop,0.10361822676829234,True,True,1357,432
BG,votedir,0.06965461129741347,True,True,1357,432
CH,distrust_index_three,0.2118193408647555,True,True,632,632
CH,viepol,-0.07842259930001919,False,True,632,632
CH,wpestop,0.06735018520290081,True,True,632,632
CH,votedir,0.13843295938902084,True,True,632,632
CZ,distrust_index_three,-0.06277168578615885,False,True,1280,525
CZ,viepol,0.05604640043578745,True,True,1280,525
CZ,wpestop,-0.00791152287137876,False,True,1280,525
CZ,votedir,0.08240117423788368,True,True,1280,525
DE,distrust_index_three,0.604317560104562,True,True,5347,179
DE,viepol,-0.014463474204939807,False,True,5347,179
DE,wpestop,0.06920451760301236,True,True,5347,179
DE,votedir,0.17730757978632739,True,True,5347,179
EE,distrust_index_three,0.25830059483516604,True,True,886,886
EE,viepol,-0.018178633815072624,False,True,886,886
EE,wpestop,0.09999970459777867,True,True,886,886
EE,votedir,0.10947529506981582,True,True,886,886
ES,distrust_index_three,0.02905125762206885,True,True,1340,447
ES,viepol,0.01672580917277919,True,True,1340,447
ES,wpestop,0.050786871332791556,True,True,1340,447
ES,votedir,0.049608109775235325,True,True,1340,447
FI,distrust_index_three,0.35545448166872057,True,True,1065,1065
FI,viepol,-0.031087642497098084,False,True,1065,1065
FI,wpestop,0.009447813568234983,True,True,1065,1065
FI,votedir,0.24346330270837768,True,True,1065,1065
FR,distrust_index_three,0.3076979082954906,True,True,788,283
FR,viepol,0.07987806350464274,True,True,788,283
FR,wpestop,-0.10395563877933636,False,True,788,283
FR,votedir,0.21422622681458164,True,True,788,283
GR,distrust_index_three,0.16296103068981255,True,True,1681,195
GR,viepol,-0.04028236465404054,False,True,1681,195
GR,wpestop,0.016349481517633654,True,True,1681,195
GR,votedir,0.07297625435064808,True,True,1681,195
HR,distrust_index_three,0.18593955365179232,True,True,646,464
HR,viepol,0.05366078882148829,True,True,646,464
HR,wpestop,-0.008335176217184919,False,True,646,464
HR,votedir,0.038369065864167703,True,True,646,464
HU,distrust_index_three,-0.4029032109918089,False,True,987,667
HU,viepol,0.054764114081421,True,True,987,667
HU,wpestop,0.013854777158566317,True,True,987,667
HU,votedir,-0.051834028689384505,False,True,987,667
IE,distrust_index_three,0.3269924150413729,True,True,1024,465
IE,viepol,0.07224217601092443,True,True,1024,465
IE,wpestop,0.03296495863041301,True,True,1024,465
IE,votedir,-0.09598011324844707,False,True,1024,465
IS,distrust_index_three,0.37443801901237145,True,True,583,484
IS,viepol,-0.03457144754962093,False,True,583,484
IS,wpestop,-0.015319567141960685,False,True,583,484
IS,votedir,0.16094589083984182,True,True,583,484
IT,distrust_index_three,0.18280015514716116,True,True,1011,297
IT,viepol,-0.062217537948145545,False,True,1011,297
IT,wpestop,0.045039596747272606,True,True,1011,297
IT,votedir,0.04915621000652797,True,True,1011,297
LV,distrust_index_three,0.2255985745880411,True,True,557,557
LV,viepol,0.004609359350700389,True,True,557,557
LV,wpestop,0.4186606422396724,True,True,557,557
LV,votedir,0.10233660298930929,True,True,557,557
NL,distrust_index_three,0.2980968933711411,True,True,1081,1081
NL,viepol,0.14132671499255545,True,True,1081,1081
NL,wpestop,0.0011131869858761517,True,True,1081,1081
NL,votedir,0.19927764309709778,True,True,1081,1081
NO,distrust_index_three,0.27807461257427907,True,True,1006,1006
NO,viepol,0.06724024930629269,True,True,1006,1006
NO,wpestop,-0.08444744143041472,False,True,1006,1006
NO,votedir,0.017331877284118676,True,True,1006,1006
PL,distrust_index_three,-0.5188554669429828,False,True,1330,1141
PL,viepol,0.09079432848136437,True,True,1330,1141
PL,wpestop,0.08221115863372845,True,True,1330,1141
PL,votedir,-0.2105035147082138,False,True,1330,1141
SE,distrust_index_three,0.4689884515894783,True,True,1701,1701
SE,viepol,0.05280248325754142,True,True,1701,1701
SE,wpestop,-0.03844212608620888,False,True,1701,1701
SE,votedir,0.06848603813648188,True,True,1701,1701
SI,distrust_index_three,-0.04970508078395862,False,True,540,259
SI,viepol,0.02367445587668706,True,True,540,259
SI,wpestop,0.12103490586153749,True,True,540,259
SI,votedir,-0.1944914802755171,False,True,540,259
SK,distrust_index_three,-0.0030581721727795095,False,True,722,243
SK,viepol,-0.024360692874770384,False,True,722,243
SK,wpestop,0.17402775012620064,True,True,722,243
SK,votedir,-0.030959658934478686,False,True,722,243
