cntry,classifiable_primary_country,h2a_complete_n,h2b_complete_n,dropped_from_h2a,retained_from_h2a_share
AT,1388,1285,1277,8,0.9937743190661479
BE,846,828,822,6,0.9927536231884058
BG,1428,1375,1357,18,0.986909090909091
CH,666,636,632,4,0.9937106918238994
CZ,1357,1311,1280,31,0.9763539282990084
DE,6000,5397,5347,50,0.9907355938484343
EE,930,900,886,14,0.9844444444444445
ES,1418,1371,1340,31,0.9773887673231219
FI,1099,1077,1065,12,0.9888579387186629
FR,828,795,788,7,0.9911949685534591
GR,1774,1703,1681,22,0.987081620669407
HR,671,652,646,6,0.99079754601227
HU,1033,1003,987,16,0.9840478564307079
IE,1092,1041,1024,17,0.983669548511047
IS,620,589,583,6,0.9898132427843803
IT,1064,1021,1011,10,0.990205680705191
LV,617,566,557,9,0.9840989399293286
NL,1173,1116,1081,35,0.9686379928315412
NO,1051,1032,1006,26,0.9748062015503876
PL,1457,1348,1330,18,0.9866468842729971
SE,1836,1737,1701,36,0.9792746113989638
SI,578,555,540,15,0.972972972972973
SK,823,751,722,29,0.9613848202396804
