cntry,respondents,reported_voters,classifiable_voters,populist_voters,non_populist_voters,populist_share
AT,2003,1692,1388,121,1267,0.0871757925072046
BE,1341,1043,846,80,766,0.0945626477541371
BG,2718,1888,1428,845,583,0.5917366946778712
CH,1523,844,666,170,496,0.2552552552552553
CY,875,628,529,0,529,0.0
CZ,2476,1487,1357,523,834,0.3854089904200442
DE,8725,7341,6000,328,5672,0.0546666666666666
EE,1542,1033,930,124,806,0.1333333333333333
ES,2283,1787,1418,273,1145,0.192524682651622
FI,1577,1265,1099,147,952,0.1337579617834395
FR,1977,1025,828,163,665,0.1968599033816425
GB,1149,882,825,7,818,0.0084848484848484
GR,2799,2334,1774,592,1182,0.3337091319052988
HR,1592,1065,671,99,572,0.1475409836065573
HU,1849,1295,1033,697,336,0.6747337850919651
IE,1770,1340,1092,302,790,0.2765567765567766
IL,1308,991,0,0,0,
IS,903,743,620,64,556,0.1032258064516129
IT,2640,1799,1064,573,491,0.5385338345864662
LT,1659,1107,868,10,858,0.0115207373271889
LV,1023,700,617,32,585,0.0518638573743922
ME,1278,1077,0,0,0,
MK,1429,1084,0,0,0,
NL,1470,1255,1173,152,1021,0.1295822676896845
NO,1411,1119,1051,89,962,0.0846812559467174
PL,2065,1654,1457,626,831,0.4296499656829101
PT,1838,1237,789,20,769,0.0253485424588086
RS,1505,1071,0,0,0,
SE,2287,1960,1836,229,1607,0.1247276688453159
SI,1252,825,578,425,153,0.7352941176470589
SK,1418,1047,823,588,235,0.7144592952612394
