cntry,measure,score_band,weighted_share,observed_n
AT,Political distrust index (trstprl + trstplt + trstprt),0-3,0.07125038313836472,1377
AT,Political distrust index (trstprl + trstplt + trstprt),4-7,0.6865027193441654,1377
AT,Political distrust index (trstprl + trstplt + trstprt),8-10,0.24224689751746983,1377
AT,viepol (ordinary people's views should prevail over political elites),0-3,0.12389490823077526,1347
AT,viepol (ordinary people's views should prevail over political elites),4-7,0.45704171698413465,1347
AT,viepol (ordinary people's views should prevail over political elites),8-10,0.41906337478509004,1347
BE,Political distrust index (trstprl + trstplt + trstprt),0-3,0.08036601099003271,840
BE,Political distrust index (trstprl + trstplt + trstprt),4-7,0.7258917268823221,840
BE,Political distrust index (trstprl + trstplt + trstprt),8-10,0.19374226212764523,840
BE,viepol (ordinary people's views should prevail over political elites),0-3,0.045440806008685504,837
BE,viepol (ordinary people's views should prevail over political elites),4-7,0.4637127152058689,837
BE,viepol (ordinary people's views should prevail over political elites),8-10,0.4908464787854457,837
BG,Political distrust index (trstprl + trstplt + trstprt),0-3,0.028532271637178152,1417
BG,Political distrust index (trstprl + trstplt + trstprt),4-7,0.48745140228354916,1417
BG,Political distrust index (trstprl + trstplt + trstprt),8-10,0.4840163260792728,1417
BG,viepol (ordinary people's views should prevail over political elites),0-3,0.029672351134299144,1394
BG,viepol (ordinary people's views should prevail over political elites),4-7,0.3343363449559667,1394
BG,viepol (ordinary people's views should prevail over political elites),8-10,0.635991303909734,1394
CH,Political distrust index (trstprl + trstplt + trstprt),0-3,0.32104921694144467,654
CH,Political distrust index (trstprl + trstplt + trstprt),4-7,0.6549632991455651,654
CH,Political distrust index (trstprl + trstplt + trstprt),8-10,0.023987483912990323,654
CH,viepol (ordinary people's views should prevail over political elites),0-3,0.07975422366127102,647
CH,viepol (ordinary people's views should prevail over political elites),4-7,0.4155013753046775,647
CH,viepol (ordinary people's views should prevail over political elites),8-10,0.5047444010340514,647
CY,Political distrust index (trstprl + trstplt + trstprt),0-3,0.026881762112401297,525
CY,Political distrust index (trstprl + trstplt + trstprt),4-7,0.5298955380298606,525
CY,Political distrust index (trstprl + trstplt + trstprt),8-10,0.4432226998577381,525
CY,viepol (ordinary people's views should prevail over political elites),0-3,0.04280380691277969,520
CY,viepol (ordinary people's views should prevail over political elites),4-7,0.3553750690729281,520
CY,viepol (ordinary people's views should prevail over political elites),8-10,0.6018211240142922,520
CZ,Political distrust index (trstprl + trstplt + trstprt),0-3,0.1729539311063383,1342
CZ,Political distrust index (trstprl + trstplt + trstprt),4-7,0.6327256851184134,1342
CZ,Political distrust index (trstprl + trstplt + trstprt),8-10,0.19432038377524832,1342
CZ,viepol (ordinary people's views should prevail over political elites),0-3,0.04289616421150232,1328
CZ,viepol (ordinary people's views should prevail over political elites),4-7,0.37524574494195323,1328
CZ,viepol (ordinary people's views should prevail over political elites),8-10,0.5818580908465444,1328
DE,Political distrust index (trstprl + trstplt + trstprt),0-3,0.13196459763179358,5883
DE,Political distrust index (trstprl + trstplt + trstprt),4-7,0.6970938147190322,5883
DE,Political distrust index (trstprl + trstplt + trstprt),8-10,0.17094158764917428,5883
DE,viepol (ordinary people's views should prevail over political elites),0-3,0.1031801972713368,5735
DE,viepol (ordinary people's views should prevail over political elites),4-7,0.49424813505772164,5735
DE,viepol (ordinary people's views should prevail over political elites),8-10,0.40257166767094155,5735
EE,Political distrust index (trstprl + trstplt + trstprt),0-3,0.10586246099339416,918
EE,Political distrust index (trstprl + trstplt + trstprt),4-7,0.7800420025981597,918
EE,Political distrust index (trstprl + trstplt + trstprt),8-10,0.1140955364084462,918
EE,viepol (ordinary people's views should prevail over political elites),0-3,0.0551377443141401,911
EE,viepol (ordinary people's views should prevail over political elites),4-7,0.4641999631503247,911
EE,viepol (ordinary people's views should prevail over political elites),8-10,0.4806622925355351,911
ES,Political distrust index (trstprl + trstplt + trstprt),0-3,0.03479961822507131,1401
ES,Political distrust index (trstprl + trstplt + trstprt),4-7,0.48737866728139007,1401
ES,Political distrust index (trstprl + trstplt + trstprt),8-10,0.4778217144935387,1401
ES,viepol (ordinary people's views should prevail over political elites),0-3,0.04805673023874305,1397
ES,viepol (ordinary people's views should prevail over political elites),4-7,0.3615700611093733,1397
ES,viepol (ordinary people's views should prevail over political elites),8-10,0.5903732086518837,1397
FI,Political distrust index (trstprl + trstplt + trstprt),0-3,0.38497920706462363,1094
FI,Political distrust index (trstprl + trstplt + trstprt),4-7,0.5730033038693664,1094
FI,Political distrust index (trstprl + trstplt + trstprt),8-10,0.04201748906600989,1094
FI,viepol (ordinary people's views should prevail over political elites),0-3,0.05897277859813754,1082
