cntry,complete_n,cronbach_alpha
AT,1377,0.8645068284631896
BE,840,0.8993407247843741
BG,1417,0.8870527099009362
CH,654,0.8543309252648045
CY,525,0.8412050412745451
CZ,1342,0.9181738492296116
DE,5883,0.8954770188050759
EE,918,0.8666349950322492
ES,1401,0.8516878136197839
FI,1094,0.9086878318756304
FR,818,0.8448517468389304
GB,821,0.896299393894155
GR,1756,0.8946052187424293
HR,667,0.8909062275899635
HU,1016,0.9066693896660623
IE,1062,0.9176610796414388
IS,610,0.9124262429306804
IT,1055,0.903234476359696
LT,848,0.8919434213534735
LV,611,0.8831638268470716
NL,1153,0.8507712609543099
NO,1047,0.8877752491845466
PL,1429,0.8697391819620581
PT,765,0.8723207355899449
SE,1811,0.9010729105860593
SI,569,0.8730175964953946
SK,808,0.9253863779022355
