cntry,variable,n,mean,sd,share_8_10,share_10,weighted_mean,weighted_sd,weighted_share_8_10,weighted_share_10,weak_sd_flag,severe_ceiling_flag
AT,viepol,1347,6.556792873051225,2.628906255829647,0.40979955456570155,0.1759465478841871,6.545866515052064,2.6953046293394336,0.41906337478509004,0.18805429877535076,False,False
AT,wpestop,1360,7.3375,2.204098046186654,0.5272058823529412,0.21838235294117647,7.329422801416519,2.256727616551512,0.5380850805117934,0.2249138315548473,False,False
BE,viepol,837,7.103942652329749,2.0589276338647746,0.4755077658303465,0.14336917562724014,7.1756853292910225,2.0574273440720994,0.4908464787854457,0.1551173157078077,False,False
BE,wpestop,837,7.234169653524492,2.0832272614522624,0.5017921146953405,0.15770609318996415,7.264342206225505,2.12020327336966,0.5121204721157983,0.1762546891321471,False,False
BG,viepol,1394,7.859397417503587,2.1793987286075187,0.6140602582496413,0.37374461979913914,7.931054605031063,2.1653899053909167,0.635991303909734,0.3832482698452832,False,False
BG,wpestop,1402,8.501426533523539,1.8549271052999394,0.7524964336661911,0.47218259629101283,8.5168991847615,1.8707018454092006,0.7554441190628487,0.48662502841807315,False,False
CH,viepol,647,7.051004636785162,2.318093072050935,0.49613601236476046,0.16228748068006182,7.078006013072536,2.3153717941078193,0.5047444010340514,0.1657222302664071,False,False
CH,wpestop,660,7.668181818181818,2.0076983168254237,0.603030303030303,0.22121212121212122,7.670977075939652,2.021652393083626,0.6072398926611895,0.22287766339662973,False,False
CY,viepol,520,7.684615384615385,2.2868801151425786,0.5788461538461539,0.3230769230769231,7.736768613874575,2.3619705216013904,0.6018211240142922,0.34846124883018503,False,False
CY,wpestop,521,8.71785028790787,1.7015400220899757,0.7888675623800384,0.5143953934740882,8.857082072669183,1.6133964408176689,0.8133216339705389,0.5596423864868862,False,False
CZ,viepol,1328,7.619728915662651,2.1158894158017243,0.5881024096385542,0.23042168674698796,7.579536325095196,2.115161937122648,0.5818580908465444,0.21208247516171927,False,False
CZ,wpestop,1345,8.33085501858736,1.881095155929433,0.737546468401487,0.38066914498141263,8.348971393450546,1.8473893593302975,0.7438329720764257,0.3778094598128568,False,False
DE,viepol,5735,6.478639930252833,2.573276762153324,0.3862249346120314,0.16390584132519617,6.575776799122621,2.569342807926911,0.40257166767094155,0.17912712641979983,False,False
DE,wpestop,5818,7.18030250945342,2.2777659565288775,0.5032657270539704,0.21244413887933997,7.244929309756124,2.2765080355274847,0.5151395643808996,0.22497952485996606,False,False
EE,viepol,911,7.198682766190999,2.2021563905596917,0.4807903402854007,0.20636663007683864,7.21204034290437,2.1763359515757887,0.4806622925355351,0.2054236327291615,False,False
EE,wpestop,909,7.382838283828383,2.203514482875478,0.5456545654565457,0.22552255225522552,7.379582562547577,2.196244565505633,0.5421593738646072,0.22370371616341483,False,False
ES,viepol,1397,7.7115246957766646,2.255007870493383,0.5977093772369363,0.3235504652827487,7.70733381785943,2.268827633993864,0.5903732086518837,0.3314521103974203,False,False
ES,wpestop,1382,8.60781476121563,1.9485480958419952,0.7735166425470333,0.5289435600578871,8.615762753134362,1.9634434024727763,0.7713009371679052,0.5378871464207827,False,False
FI,viepol,1082,7.512939001848429,2.0900891309628915,0.621996303142329,0.15804066543438078,7.482918199741446,2.1185669819889643,0.6174986298087698,0.1570877599414389,False,False
FI,wpestop,1082,8.082255083179298,1.6998882527338814,0.7153419593345656,0.22181146025878004,8.040953780160509,1.7390874445460052,0.7068048056243004,0.21843723324366723,False,False
FR,viepol,810,7.345679012345679,2.044985387909997,0.5370370370370371,0.19012345679012346,7.3529620936371956,2.0396968388652357,0.5359884168334135,0.19341105486309487,False,False
FR,wpestop,820,7.25,2.2617890851469475,0.5170731707317073,0.20853658536585365,7.258597915230744,2.265673785267068,0.5155428520983041,0.21347223855828165,False,False
GB,viepol,816,8.308823529411764,2.0000541313497298,0.7267156862745098,0.4105392156862745,8.358401344644411,1.953933607281325,0.7345443472682852,0.4176764340833554,False,False
GB,wpestop,809,7.8936959208899875,2.1209871397595554,0.6563658838071693,0.3189122373300371,7.849486666778571,2.103548350240356,0.636323809917393,0.30411798514992044,False,False
GR,viepol,1747,7.979965655409273,1.6949995181466475,0.6628506010303378,0.21465369204350315,8.018513087523171,1.6848583938796384,0.6743318030662984,0.22051166976028083,True,False
