item,score,unweighted_n,weighted_share
distrust_prl,0,930,0.023196778191235917
distrust_prl,1,1296,0.028350069900429837
distrust_prl,2,3697,0.0925950664335113
distrust_prl,3,4637,0.13097465869288824
distrust_prl,4,3801,0.11819734076723162
distrust_prl,5,5412,0.17166017266084438
distrust_prl,6,2701,0.08924292244699074
distrust_prl,7,3334,0.1128316603298911
distrust_prl,8,2611,0.09136111734757463
distrust_prl,9,1384,0.04630221684326824
distrust_prl,10,2703,0.09528799638613389
distrust_plt,0,237,0.006899790678731234
distrust_plt,1,325,0.006665230838033047
distrust_plt,2,1461,0.03313956376122871
distrust_plt,3,2964,0.07480924331402837
distrust_plt,4,3703,0.10539747453177876
distrust_plt,5,5544,0.16612120644653325
distrust_plt,6,3672,0.10920151397436388
distrust_plt,7,4146,0.13170709577415143
distrust_plt,8,3714,0.12181935061300982
distrust_plt,9,2397,0.0822132551429053
distrust_plt,10,4424,0.16202627492523625
distrust_prt,0,235,0.0062444135899706035
distrust_prt,1,301,0.006851464366452373
distrust_prt,2,1332,0.031225987160307184
distrust_prt,3,2778,0.0697969186804488
distrust_prt,4,3597,0.09932745357180398
distrust_prt,5,5745,0.17441606212556812
distrust_prt,6,3871,0.11842236191223304
distrust_prt,7,4414,0.14208853412513053
distrust_prt,8,3751,0.12289376420191005
distrust_prt,9,2426,0.08111458760509417
distrust_prt,10,4068,0.14761845266108126
