cntry,classifiable,populist,non_populist,flag_under_30
AT,1388,121.0,1267.0,False
BE,846,80.0,766.0,False
BG,1428,845.0,583.0,False
CH,666,170.0,496.0,False
CY,529,0.0,529.0,True
CZ,1357,523.0,834.0,False
DE,6000,328.0,5672.0,False
EE,930,124.0,806.0,False
ES,1418,273.0,1145.0,False
FI,1099,147.0,952.0,False
FR,828,163.0,665.0,False
GB,825,7.0,818.0,True
GR,1774,592.0,1182.0,False
HR,671,99.0,572.0,False
HU,1033,697.0,336.0,False
IE,1092,302.0,790.0,False
IS,620,64.0,556.0,False
IT,1064,573.0,491.0,False
LT,868,10.0,858.0,True
LV,617,32.0,585.0,False
NL,1173,152.0,1021.0,False
NO,1051,89.0,962.0,False
PL,1457,626.0,831.0,False
PT,789,20.0,769.0,True
SE,1836,229.0,1607.0,False
SI,578,425.0,153.0,False
SK,823,588.0,235.0,False
