cntry,measure,measure_label,weighting,non_populist_n,populist_n,non_populist_mean,populist_mean,difference,se,ci_low,ci_high
AT,distrust_index_three,Political distrust index,weighted,1172,113,6.018583978777425,7.695135959575918,1.676551980798493,0.24705924652345349,1.1923247555649217,2.1607792060320645
AT,distrust_index_three,Political distrust index,unweighted,1172,113,6.045790671217293,7.722713864306784,1.6769231930894914,0.17342740820339098,1.3370117190787187,2.016834667100264
AT,viepol,People's views should prevail (viepol),weighted,1172,113,6.415268113256769,7.803467761411618,1.388199648154849,0.3144776577586918,0.7718347650053,2.004564531304398
AT,viepol,People's views should prevail (viepol),unweighted,1172,113,6.433447098976109,7.6371681415929205,1.2037210426168112,0.21611270875146027,0.7801479168625549,1.6272941683710676
BE,distrust_index_three,Political distrust index,weighted,748,80,5.672493318929316,6.844901506049503,1.1724081871201868,0.2419245620836769,0.6982447584605558,1.6465716157798178
BE,distrust_index_three,Political distrust index,unweighted,748,80,5.508021390374331,6.791666666666667,1.2836452762923356,0.22742787371385323,0.8378948347326596,1.7293957178520116
BE,viepol,People's views should prevail (viepol),weighted,748,80,7.131909003854268,7.478141279760937,0.3462322759066687,0.2264360326382136,-0.09757419286636615,0.7900387446797036
BE,viepol,People's views should prevail (viepol),unweighted,748,80,7.060160427807487,7.3875,0.3273395721925132,0.2219613643383388,-0.10769670787000396,0.7623758522550304
BG,distrust_index_three,Political distrust index,weighted,554,821,7.64002687454718,7.488352220644925,-0.15167465390225487,0.15019991675569005,-0.4460610812243216,0.14271177341981184
BG,distrust_index_three,Political distrust index,unweighted,554,821,7.49939831528279,7.389768574908648,-0.10962974037414241,0.11472663011535715,-0.3344898034678908,0.11523032271960595
BG,viepol,People's views should prevail (viepol),weighted,554,821,7.986702919315266,7.909624830381187,-0.07707808893407897,0.16093262932536048,-0.39250024634912006,0.23834406848096212
BG,viepol,People's views should prevail (viepol),unweighted,554,821,7.870036101083032,7.861144945188794,-0.008891155894238167,0.11833319533031407,-0.24081995691719704,0.2230376451287207
CH,distrust_index_three,Political distrust index,weighted,469,167,3.7904990777800114,4.295282179028223,0.5047831012482114,0.1570384654141761,0.19699336484898727,0.8125728376474355
CH,distrust_index_three,Political distrust index,unweighted,469,167,3.7945984363894807,4.327345309381237,0.5327468729917566,0.15636343374379155,0.22628017435491016,0.8392135716286031
CH,viepol,People's views should prevail (viepol),weighted,469,167,7.120092192975778,7.028397795557294,-0.09169439741848429,0.20531192988353283,-0.4940983855866215,0.31070959074965293
CH,viepol,People's views should prevail (viepol),unweighted,469,167,7.0788912579957355,7.041916167664671,-0.036975090331064386,0.20283239590047983,-0.43451928119397454,0.36056910053184577
CZ,distrust_index_three,Political distrust index,weighted,807,504,5.5863576017920975,5.311219356731147,-0.2751382450609503,0.15133505305742884,-0.571749498651969,0.021473008530068394
CZ,distrust_index_three,Political distrust index,unweighted,807,504,5.714580751755474,5.311507936507937,-0.4030728152475369,0.13572665934925932,-0.6690921793140218,-0.13705345118105206
CZ,viepol,People's views should prevail (viepol),weighted,807,504,7.429383393671341,7.803843299684135,0.37445990601279355,0.13349097283439745,0.11282240699615981,0.6360974050294272
CZ,viepol,People's views should prevail (viepol),unweighted,807,504,7.522924411400248,7.75,0.2270755885997522,0.11881615458651824,-0.005799795171367139,0.4599509723708715
