cntry,classifiable,populist,non_populist,minimum_outcome_cell,below_30_after_complete_cases
AT,1285,113,1172,113,False
BE,828,80,748,80,False
BG,1375,821,554,554,False
CH,636,167,469,167,False
CZ,1311,504,807,504,False
DE,5397,295,5102,295,False
EE,900,120,780,120,False
ES,1371,267,1104,267,False
FI,1077,146,931,146,False
FR,795,157,638,157,False
GR,1703,568,1135,568,False
HR,652,96,556,96,False
HU,1003,672,331,331,False
IE,1041,283,758,283,False
IS,589,62,527,62,False
IT,1021,545,476,476,False
LV,566,29,537,29,True
NL,1116,146,970,146,False
NO,1032,89,943,89,False
PL,1348,564,784,564,False
SE,1737,221,1516,221,False
SI,555,405,150,150,False
SK,751,531,220,220,False
