omitted_country,term,term_label,full_estimate_log_odds,leave_one_out_estimate_log_odds,change_log_odds,absolute_change_log_odds,converged
AT,distrust_index_three,Political distrust,0.07632718584798028,0.07280255750004827,-0.0035246283479320045,0.0035246283479320045,True
AT,viepol,People's views should prevail,0.06313576066399369,0.061387710205792374,-0.0017480504582013182,0.0017480504582013182,True
BE,distrust_index_three,Political distrust,0.07632718584798028,0.07398882736912858,-0.002338358478851693,0.002338358478851693,True
BE,viepol,People's views should prevail,0.06313576066399369,0.06359604711777837,0.0004602864537846807,0.0004602864537846807,True
BG,distrust_index_three,Political distrust,0.07632718584798028,0.07957340384635386,0.003246217998373588,0.003246217998373588,True
BG,viepol,People's views should prevail,0.06313576066399369,0.06526431791878688,0.0021285572547931897,0.0021285572547931897,True
CH,distrust_index_three,Political distrust,0.07632718584798028,0.07463258816883546,-0.0016945976791448158,0.0016945976791448158,True
CH,viepol,People's views should prevail,0.06313576066399369,0.0656034513634285,0.0024676906994348102,0.0024676906994348102,True
CZ,distrust_index_three,Political distrust,0.07632718584798028,0.08276535637141451,0.0064381705234342335,0.0064381705234342335,True
CZ,viepol,People's views should prevail,0.06313576066399369,0.062336668739176114,-0.0007990919248175785,0.0007990919248175785,True
DE,distrust_index_three,Political distrust,0.07632718584798028,0.027975174424552614,-0.04835201142342766,0.04835201142342766,True
DE,viepol,People's views should prevail,0.06313576066399369,0.059050888882078774,-0.0040848717819149186,0.0040848717819149186,True
EE,distrust_index_three,Political distrust,0.07632718584798028,0.07592589441235706,-0.0004012914356232161,0.0004012914356232161,True
EE,viepol,People's views should prevail,0.06313576066399369,0.0630764965128564,-5.926415113728656e-05,5.926415113728656e-05,True
ES,distrust_index_three,Political distrust,0.07632718584798028,0.0801878196377318,0.0038606337897515303,0.0038606337897515303,True
ES,viepol,People's views should prevail,0.06313576066399369,0.06352673816404651,0.0003909775000528193,0.0003909775000528193,True
FI,distrust_index_three,Political distrust,0.07632718584798028,0.07272586544180784,-0.003601320406172434,0.003601320406172434,True
FI,viepol,People's views should prevail,0.06313576066399369,0.0639823350508448,0.0008465743868511094,0.0008465743868511094,True
FR,distrust_index_three,Political distrust,0.07632718584798028,0.05176893550825837,-0.024558250339721907,0.024558250339721907,True
FR,viepol,People's views should prevail,0.06313576066399369,0.05625144137359276,-0.006884319290400932,0.006884319290400932,True
GR,distrust_index_three,Political distrust,0.07632718584798028,0.07254114053385058,-0.0037860453141296962,0.0037860453141296962,True
GR,viepol,People's views should prevail,0.06313576066399369,0.06415404988092217,0.0010182892169284807,0.0010182892169284807,True
HR,distrust_index_three,Political distrust,0.07632718584798028,0.07556099918259773,-0.0007661866653825428,0.0007661866653825428,True
HR,viepol,People's views should prevail,0.06313576066399369,0.06309836883060553,-3.7391833388161766e-05,3.7391833388161766e-05,True
HU,distrust_index_three,Political distrust,0.07632718584798028,0.09350994790614535,0.017182762058165074,0.017182762058165074,True
HU,viepol,People's views should prevail,0.06313576066399369,0.06581430669639632,0.002678546032402626,0.002678546032402626,True
IE,distrust_index_three,Political distrust,0.07632718584798028,0.07198350203969547,-0.004343683808284801,0.004343683808284801,True
IE,viepol,People's views should prevail,0.06313576066399369,0.06373402859273254,0.0005982679287388493,0.0005982679287388493,True
IS,distrust_index_three,Political distrust,0.07632718584798028,0.07614368590053229,-0.0001834999474479848,0.0001834999474479848,True
IS,viepol,People's views should prevail,0.06313576066399369,0.06314692859662796,1.1167932634267852e-05,1.1167932634267852e-05,True
IT,distrust_index_three,Political distrust,0.07632718584798028,0.05581469249764263,-0.020512493350337647,0.020512493350337647,True
IT,viepol,People's views should prevail,0.06313576066399369,0.07245476589883246,0.009319005234838765,0.009319005234838765,True
LV,distrust_index_three,Political distrust,0.07632718584798028,0.07610995495347704,-0.00021723089450323418,0.00021723089450323418,True
LV,viepol,People's views should prevail,0.06313576066399369,0.06289507298338534,-0.00024068768060835077,0.00024068768060835077,True
NL,distrust_index_three,Political distrust,0.07632718584798028,0.0679003682874949,-0.00842681756048537,0.00842681756048537,True
NL,viepol,People's views should prevail,0.06313576066399369,0.057694502848508016,-0.005441257815485677,0.005441257815485677,True
NO,distrust_index_three,Political distrust,0.07632718584798028,0.07309340040621605,-0.0032337854417642253,0.0032337854417642253,True
NO,viepol,People's views should prevail,0.06313576066399369,0.06403207178162329,0.0008963111176295974,0.0008963111176295974,True
PL,distrust_index_three,Political distrust,0.07632718584798028,0.19677193030013365,0.12044474445215338,0.12044474445215338,True
PL,viepol,People's views should prevail,0.06313576066399369,0.05603245855386057,-0.007103302110133124,0.007103302110133124,True
SE,distrust_index_three,Political distrust,0.07632718584798028,0.06722966929012329,-0.009097516557856983,0.009097516557856983,True
SE,viepol,People's views should prevail,0.06313576066399369,0.06311356041193975,-2.2200252053947156e-05,2.2200252053947156e-05,True
SI,distrust_index_three,Political distrust,0.07632718584798028,0.07702051280104921,0.0006933269530689373,0.0006933269530689373,True
SI,viepol,People's views should prevail,0.06313576066399369,0.06338183707389428,0.00024607640990058355,0.00024607640990058355,True
SK,distrust_index_three,Political distrust,0.07632718584798028,0.07715169800239205,0.0008245121544117745,0.0008245121544117745,True
SK,viepol,People's views should prevail,0.06313576066399369,0.06342111984953969,0.00028535918554599415,0.00028535918554599415,True
