omitted_country,interaction_estimate,conf_low,conf_high,p_value,converged
AT,-0.5181040090466607,-0.8220729604341674,-0.2141350576591538,0.0019191437185810019,True
BE,-0.496110491634019,-0.8070730745842554,-0.18514790868378267,0.003270791770448458,True
BG,-0.5041201243363586,-0.8214076986582367,-0.1868325500144804,0.0033767118212880663,True
CH,-0.5086955474962788,-0.8171449578244052,-0.20024613716815232,0.0025162008657179558,True
CZ,-0.5214658374994567,-0.8475042481154272,-0.19542742688348624,0.0032078400817577312,True
DE,-0.43686572749147456,-0.7237154598099941,-0.15001599517295505,0.004643371212699159,True
EE,-0.497228895053029,-0.8056015567247593,-0.18885623338129864,0.0030107687359773078,True
ES,-0.547274681760066,-0.8543376100306277,-0.2402117534895043,0.001307843833959454,True
FI,-0.49187055607411084,-0.801346846609633,-0.18239426553858873,0.0033681729888814823,True
FR,-0.48482089236838566,-0.805878719543754,-0.1637630651930173,0.004940710841807877,True
GR,-0.5445015591870607,-0.8407488283030196,-0.24825429007110172,0.0009927681143235651,True
HR,-0.49495675082639157,-0.80385779557429,-0.18605570607849303,0.0031626837584201864,True
HU,-0.47692310674926547,-0.8175033520240489,-0.13634286147448205,0.008332386460496048,True
IE,-0.4928477642786336,-0.8030658839894934,-0.18262964456777375,0.0033788327168950624,True
IS,-0.494179403194208,-0.8024602787962034,-0.1858985275922126,0.003151904474351972,True
IT,-0.5279312878324347,-0.8585560755926906,-0.19730650007217881,0.003249144310559567,True
LV,-0.49421371725598257,-0.8024938948907976,-0.18593353962116754,0.0031501425752707177,True
NL,-0.48931954471804534,-0.801322698510442,-0.1773163909256486,0.003730228760117511,True
NO,-0.49289617282998155,-0.8026724151319012,-0.18311993052806186,0.0033393079323102755,True
PL,-0.288023196847637,-0.5082276148005855,-0.06781877889468851,0.012824853603480471,True
SE,-0.48749301015797913,-0.7980574505676321,-0.1769285697483261,0.0037053006268092967,True
SI,-0.49657068067540056,-0.8070348035642783,-0.1861065577865229,0.003207118700296227,True
SK,-0.51228404390481,-0.826048339475051,-0.19851974833456898,0.0027273943948636884,True
