cntry,term,term_label,n,populist,non_populist,psu_count,kish_effective_n,estimate_log_odds,std_error,conf_low,conf_high,statistic,p_value,df,odds_ratio,odds_ratio_low,odds_ratio_high,ame,ame_std_error,ame_low,ame_high,evidence_category,fdr_q_value,populist_in_pre_election_government
AT,distrust_index_three,Representative-political-institution distrust,1285,113,1172,1285,749.5118887304144,0.3465794115531397,0.0735114388684594,0.2023636959449816,0.4907951271612979,4.71463240126894,2.685637456125366e-06,1284.0,1.4142217949205202,1.2242931976210845,1.6336146350518397,0.02405283385238,0.0051019359097209,0.0140437883278601,0.0340618793768998,positive_interval_above_zero,5.615423771898492e-06,True
BE,distrust_index_three,Representative-political-institution distrust,828,80,748,502,691.7513962661817,0.2022222459909614,0.0702062331889735,0.064287334963526,0.3401571570183967,2.880403018441986,0.004141806319534,501.0,1.2241200336518805,1.0663987683952647,1.405168405288768,0.0159954541844835,0.0056934243279768,0.0048095246387824,0.0271813837301846,positive_interval_above_zero,0.0059538465843302,False
BG,distrust_index_three,Representative-political-institution distrust,1375,821,554,435,730.7465233309375,-0.0409638077558455,0.0442542590026026,-0.1279431226517109,0.0460155071400199,-0.925646676254061,0.3551440416229314,434.0,0.959863868946654,0.879903424294937,1.0470906482123357,-0.0087398434611819,0.0094028967240811,-0.0272207204102018,0.0097410334878379,negative_interval_includes_zero,0.371286952605792,True
CH,distrust_index_three,Representative-political-institution distrust,636,167,469,636,625.8974214501737,0.2073747692456304,0.0624116818656026,0.0848165217623073,0.3299330167289536,3.322691570661263,0.0009427284527989,635.0,1.2304436178088574,1.0885173291339634,1.3908749599890138,0.0353159303250736,0.0102570809939346,0.0151740300696351,0.0554578305805121,positive_interval_above_zero,0.0014455169609584,True
CZ,distrust_index_three,Representative-political-institution distrust,1311,504,807,529,1022.6290165183392,-0.055830155249274,0.0285657117082782,-0.1119465550650683,0.0002862445665203,-1.954446499335586,0.0511758302732409,528.0,0.9456997443881022,0.8940920409144048,1.0002862855384054,-0.0129270005741346,0.0065756764098038,-0.0258447003059044,-9.300842364881254e-06,negative_interval_includes_zero,0.0653913386824745,True
DE,distrust_index_three,Representative-political-institution distrust,5397,295,5102,179,4383.182603294664,0.6564848773652792,0.0432647442871589,0.5711070578410479,0.7418626968895105,15.173668264581083,6.524053193071088e-34,178.0,1.9280032413118369,1.770225709311832,2.099843245387049,0.0325621875615035,0.002331041826663,0.0279621541703587,0.0371622209526483,positive_interval_above_zero,7.50266117203175e-33,False
EE,distrust_index_three,Representative-political-institution distrust,900,120,780,900,856.7379200148123,0.2537103006400806,0.0581592718182993,0.1395665491519707,0.3678540521281904,4.3623362657070395,1.4358426943444112e-05,899.0,1.2887983861133936,1.1497753197445484,1.4446311827405731,0.0258542025637013,0.0057992474100415,0.0144725632395726,0.0372358418878299,positive_interval_above_zero,2.752031830826788e-05,True
ES,distrust_index_three,Representative-political-institution distrust,1371,267,1104,448,1259.5914383678444,0.0399622732352308,0.0376264433800681,-0.0339844203345538,0.1139089668050156,1.0620794751065985,0.2887730719844906,447.0,1.0407715085098292,0.9665865636154852,1.1206501038811587,0.0059761477264414,0.0056285235812392,-0.005085506555044,0.017037802007927,positive_interval_includes_zero,0.3162752693163468,False
FI,distrust_index_three,Representative-political-institution distrust,1077,146,931,1077,966.051194916678,0.3605412514705876,0.0562773682535546,0.2501154237893072,0.470967079151868,6.4065051842187914,2.221754182884212e-10,1076.0,1.4341054162008775,1.2841736323205428,1.6015422626769291,0.0395463541821352,0.0056595652500504,0.0284413185977186,0.0506513897665517,positive_interval_above_zero,8.516724367722812e-10,False
FR,distrust_index_three,Representative-political-institution distrust,795,157,638,287,742.2355988981928,0.2919741398693029,0.0493599604611257,0.1948192626145689,0.3891290171240368,5.915202061380334,9.445533374380288e-09,286.0,1.3390683887079968,1.215091354208027,1.4756949289674943,0.0414606065381063,0.0063248004298755,0.0290115445112192,0.0539096685649933,positive_interval_above_zero,3.1035323944392383e-08,False
GR,distrust_index_three,Representative-political-institution distrust,1703,568,1135,195,1104.4625142728787,0.1689124165089029,0.0315922262958468,0.1066040943036166,0.2312207387141892,5.346644928632603,2.50370088130549e-07,194.0,1.184016434089806,1.11249372467816,1.2601373698537517,0.0356435196376022,0.0064350635438973,0.0229518527398706,0.0483351865353338,positive_interval_above_zero,6.398346696669586e-07,True
HR,distrust_index_three,Representative-political-institution distrust,652,96,556,469,618.594501084735,0.1925780818652731,0.0713028818889237,0.0524646495854099,0.3326915141451363,2.7008456988494935,0.0071671919845176,468.0,1.2123711642136663,1.0538653068445285,1.3947169816395146,0.0229033920505714,0.008292174152197,0.0066088896300854,0.0391978944710573,positive_interval_above_zero,0.0096967891555238,False
