cntry,term,term_label,n,populist,non_populist,psu_count,kish_effective_n,estimate_log_odds,std_error,conf_low,conf_high,statistic,p_value,df,odds_ratio,odds_ratio_low,odds_ratio_high,ame,ame_std_error,ame_low,ame_high,evidence_category,fdr_q_value
AT,distrust_index_three,Representative-political-institution distrust,1285,113,1172,1285,749.5118887304144,0.34657941155313976,0.07351143886845943,0.2023636959449816,0.4907951271612979,4.71463240126894,2.685637456125366e-06,1284.0,1.4142217949205202,1.2242931976210845,1.6336146350518397,0.024052833852380003,0.005101935909720959,0.014043788327860164,0.03406187937689984,positive_interval_above_zero,5.615423771898492e-06
AT,viepol,People's views should prevail,1285,113,1172,1285,749.5118887304144,0.11181593118846823,0.06547779807282761,-0.016639281372618817,0.24027114374955527,1.7076922938688484,0.08793518440676577,1284.0,1.1183069962592909,0.9834983868453507,1.2715938883173061,0.0077600974705129356,0.004514137639778403,-0.0010957976132341509,0.016615992554260023,positive_interval_includes_zero,0.3234275761953219
BE,distrust_index_three,Representative-political-institution distrust,828,80,748,502,691.7513962661817,0.20222224599096142,0.07020623318897358,0.06428733496352607,0.34015715701839677,2.880403018441986,0.004141806319534091,501.0,1.2241200336518803,1.0663987683952647,1.4051684052887679,0.015995454184483577,0.005693424327976839,0.00480952463878247,0.027181383730184683,positive_interval_above_zero,0.005953846584330256
BE,viepol,People's views should prevail,828,80,748,502,691.7513962661817,0.014260925492956572,0.06582958935718713,-0.1150751482216823,0.14359699920759544,0.21663397314508076,0.8285817903704725,501.0,1.0143630976027829,0.891299161843072,1.1544187830836012,0.0011280162537662466,0.005213448840615485,-0.0091149004975248,0.011370933005057293,positive_interval_includes_zero,0.8888753317556883
BG,distrust_index_three,Representative-political-institution distrust,1375,821,554,435,730.7465233309375,-0.04096380775584551,0.04425425900260266,-0.12794312265171098,0.04601550714001997,-0.925646676254061,0.35514404162293145,434.0,0.959863868946654,0.879903424294937,1.0470906482123357,-0.008739843461181935,0.009402896724081155,-0.027220720410201855,0.009741033487837987,negative_interval_includes_zero,0.371286952605792
BG,viepol,People's views should prevail,1375,821,554,435,730.7465233309375,-0.01833312384205956,0.037328773337440176,-0.09170077712493671,0.05503452944081758,-0.4911258046529947,0.6235857251370933,434.0,0.9818339055915681,0.9123781131067316,1.0565770970619748,-0.003911468227979817,0.007950913188857526,-0.019538551305399703,0.01171561484944007,negative_interval_includes_zero,0.8436748045972439
CH,distrust_index_three,Representative-political-institution distrust,636,167,469,636,625.8974214501737,0.20737476924563045,0.06241168186560268,0.08481652176230733,0.3299330167289536,3.322691570661263,0.0009427284527989899,635.0,1.2304436178088574,1.0885173291339634,1.3908749599890138,0.03531593032507364,0.010257080993934617,0.015174030069635143,0.05545783058051213,positive_interval_above_zero,0.0014455169609584513
CH,viepol,People's views should prevail,636,167,469,636,625.8974214501737,-0.03851540497543578,0.04293086194475644,-0.12281903284798726,0.045788222897115705,-0.8971495849535356,0.3699791068761362,635.0,0.9622168816982171,0.8844236997177604,1.0468526880504265,-0.006559174790175903,0.007299850479437268,-0.020893941213818865,0.007775591633467057,negative_interval_includes_zero,0.6078228184393666
CZ,distrust_index_three,Representative-political-institution distrust,1311,504,807,529,1022.6290165183391,-0.05583015524927401,0.02856571170827826,-0.11194655506506833,0.00028624456652030783,-1.9544464993355861,0.05117583027324095,528.0,0.9456997443881022,0.8940920409144048,1.0002862855384054,-0.012927000574134668,0.006575676409803838,-0.025844700305904453,-9.300842364881254e-06,negative_interval_includes_zero,0.06539133868247454
CZ,viepol,People's views should prevail,1311,504,807,529,1022.6290165183391,0.08333483024956151,0.03408776642085845,0.016370535824299454,0.15029912467482356,2.4447137198924414,0.014822595765328558,528.0,1.0869056765267568,1.0165052672503596,1.1621818280014122,0.019295475602237468,0.007808635839696033,0.003955667678973422,0.03463528352550151,positive_interval_above_zero,0.14052917833681794
