cntry,n,populist,non_populist,psu_count,parameters,converged,predicted_min,predicted_max,below_001,above_999,max_abs_coefficient
AT,1285,113,1172,1285,11,True,0.0013018218748638878,0.7307947690865725,0,0,6.6012623463094355
BE,828,80,748,502,11,True,0.0054911341512074476,0.45658753755910253,0,0,3.712465413067888
BG,1375,821,554,435,10,True,0.22806241071239758,0.9268533694128701,0,0,1.2879615882013606
CH,636,167,469,636,11,True,1.1702264933577483e-09,0.7500639602923137,1,0,19.48744616804256
CZ,1311,504,807,529,10,True,0.14848184779667276,0.5839451209074727,0,0,0.8657820719954281
DE,5397,295,5102,179,11,True,0.00011018851360432871,0.6013633170805586,78,0,8.958572654218917
EE,900,120,780,900,11,True,8.646869245601492e-09,0.615165452357908,1,0,15.394795363885569
ES,1371,267,1104,448,11,True,0.035154542409734535,0.4996244341847268,0,0,2.612641654157478
FI,1077,146,931,1077,10,True,0.0051156706735067834,0.7557906116136481,0,0,3.164142388528903
FR,795,157,638,287,11,True,0.011733821925495293,0.831363978634305,0,0,3.958511696542179
GR,1703,568,1135,195,11,True,0.09578483497763478,0.6465435037789066,0,0,1.7286729579525029
HR,652,96,556,469,11,True,0.012059326530743843,0.45316061709766586,0,0,3.4024803176877625
HU,1003,672,331,673,11,True,0.1371052776638175,0.9882705686086027,0,0,2.9396470439107136
IE,1041,283,758,470,11,True,0.0090865176455487,0.9061831282101271,0,0,2.7196945501880836
IS,589,62,527,487,11,True,1.5296810745300954e-09,0.6781104437543954,3,0,16.962534168373605
IT,1021,545,476,298,11,True,0.1613681273996533,0.8192150920728086,0,0,0.8690802224574795
LV,566,29,537,566,10,True,0.0011980539922052955,0.3928885580632536,0,0,6.533764339287489
NL,1116,146,970,1116,11,True,0.0033887444276340865,0.8248725216439208,0,0,4.940383408569572
NO,1032,89,943,1032,11,True,3.200549640069857e-10,0.6478801486040984,2,0,19.311591628212163
PL,1348,564,784,1152,11,True,0.05095169044798861,0.9916160578010189,0,0,2.730273211679656
SE,1737,221,1516,1737,11,True,0.0016048051805316516,0.7401212611621408,0,0,4.837438877209023
SI,555,405,150,262,11,True,0.43794238617212217,0.9999999997015439,0,4,20.9276452298007
SK,751,531,220,247,11,True,0.3372240472282166,0.9999999999413751,0,4,22.269981423954256
