cntry,term,observed_estimate,shrunken_estimate,meta_mean,tau2
AT,distrust_index_three,0.34657941155313976,0.33535539415968574,0.16708295755900324,0.081016690652651
BE,distrust_index_three,0.20222224599096142,0.20020703450409338,0.16708295755900324,0.081016690652651
BG,distrust_index_three,-0.04096380775584551,-0.03605333650891235,0.16708295755900324,0.081016690652651
CH,distrust_index_three,0.20737476924563045,0.20552643732252784,0.16708295755900324,0.081016690652651
CZ,distrust_index_three,-0.05583015524927401,-0.05360736294817969,0.16708295755900324,0.081016690652651
DE,distrust_index_three,0.6564848773652792,0.6454329118804639,0.16708295755900324,0.081016690652651
EE,distrust_index_three,0.2537103006400806,0.2502385012020089,0.16708295755900324,0.081016690652651
ES,distrust_index_three,0.039962273235230876,0.04214552794215359,0.16708295755900324,0.081016690652651
FI,distrust_index_three,0.36054125147058763,0.3532630140508283,0.16708295755900324,0.081016690652651
FR,distrust_index_three,0.2919741398693029,0.2883279529527922,0.16708295755900324,0.081016690652651
GR,distrust_index_three,0.16891241650890293,0.16889015312798367,0.16708295755900324,0.081016690652651
HR,distrust_index_three,0.19257808186527314,0.19107263942195765,0.16708295755900324,0.081016690652651
HU,distrust_index_three,-0.39415948247356036,-0.38303107804428227,0.16708295755900324,0.081016690652651
IE,distrust_index_three,0.3208875608451657,0.3170929077308031,0.16708295755900324,0.081016690652651
IS,distrust_index_three,0.3843402362286221,0.3703908109524243,0.16708295755900324,0.081016690652651
IT,distrust_index_three,0.1862790819953078,0.18584376022578453,0.16708295755900324,0.081016690652651
LV,distrust_index_three,0.2518194882714992,0.23495354563048937,0.16708295755900324,0.081016690652651
NL,distrust_index_three,0.32469030825897577,0.31824548113044193,0.16708295755900324,0.081016690652651
NO,distrust_index_three,0.3069330405123859,0.29556789165463204,0.16708295755900324,0.081016690652651
PL,distrust_index_three,-0.5234767624466091,-0.5102821809360863,0.16708295755900324,0.081016690652651
SE,distrust_index_three,0.47047554587474777,0.46273807611727746,0.16708295755900324,0.081016690652651
SI,distrust_index_three,-0.056865874596381594,-0.04999107210489853,0.16708295755900324,0.081016690652651
SK,distrust_index_three,0.008104224087414902,0.010581014393086063,0.16708295755900324,0.081016690652651
AT,viepol,0.11181593118846823,0.05468598846146612,0.047777594748834945,0.0005184434883435561
BE,viepol,0.014260925492956572,0.04419627229252808,0.047777594748834945,0.0005184434883435561
BG,viepol,-0.01833312384205956,0.02985039372578972,0.047777594748834945,0.0005184434883435561
CH,viepol,-0.03851540497543578,0.028832856907857855,0.047777594748834945,0.0005184434883435561
CZ,viepol,0.08333483024956151,0.058747724121970574,0.047777594748834945,0.0005184434883435561
DE,viepol,0.04449270164079082,0.04647469823879589,0.047777594748834945,0.0005184434883435561
EE,viepol,0.06912953871353217,0.05123152883890045,0.047777594748834945,0.0005184434883435561
ES,viepol,0.061077544610694735,0.05144752594666047,0.047777594748834945,0.0005184434883435561
FI,viepol,0.04277711674998511,0.04701495831335683,0.047777594748834945,0.0005184434883435561
FR,viepol,0.11204937079024872,0.05898959425066941,0.047777594748834945,0.0005184434883435561
GR,viepol,0.00821677079935564,0.03925637512603756,0.047777594748834945,0.0005184434883435561
HR,viepol,0.06668556082552571,0.04999421804691457,0.047777594748834945,0.0005184434883435561
HU,viepol,0.017240837244205554,0.04157907256680064,0.047777594748834945,0.0005184434883435561
IE,viepol,0.045260335235986014,0.04733426739637872,0.047777594748834945,0.0005184434883435561
IS,viepol,0.013087331144701501,0.04338043821251646,0.047777594748834945,0.0005184434883435561
IT,viepol,-0.0032728437870381336,0.033520626327606697,0.047777594748834945,0.0005184434883435561
LV,viepol,0.2727259571222338,0.05564898597206423,0.047777594748834945,0.0005184434883435561
NL,viepol,0.2030047417156799,0.07137223439498974,0.047777594748834945,0.0005184434883435561
NO,viepol,0.03100775334751208,0.04708593673204237,0.047777594748834945,0.0005184434883435561
PL,viepol,0.062076693202711614,0.053118860235336095,0.047777594748834945,0.0005184434883435561
SE,viepol,0.058427163087849565,0.050211145640774155,0.047777594748834945,0.0005184434883435561
SI,viepol,0.02811052092595371,0.0442251109131445,0.047777594748834945,0.0005184434883435561
SK,viepol,0.06390560967189685,0.050685866560602644,0.047777594748834945,0.0005184434883435561
